,avg_log_income,country,migrated_yn_0,migrated_yn_1,total_count
0,"(-0.00841, 0.701]",HND,4.0,1.0,5.0
1,"(-0.00841, 0.701]",SLV,1.0,0.0,1.0
2,"(0.701, 1.402]",GT,2.0,0.0,2.0
3,"(0.701, 1.402]",HND,16.0,13.0,29.0
4,"(1.402, 2.103]",GT,7.0,5.0,12.0
5,"(1.402, 2.103]",HND,44.0,27.0,71.0
6,"(2.103, 2.804]",GT,39.0,9.0,48.0
7,"(2.103, 2.804]",HND,38.0,40.0,78.0
8,"(2.804, 3.505]",GT,83.0,36.0,119.0
9,"(2.804, 3.505]",HND,15.0,18.0,33.0
10,"(2.804, 3.505]",SLV,2.0,0.0,2.0
11,"(3.505, 4.206]",GT,71.0,39.0,110.0
12,"(3.505, 4.206]",HND,3.0,5.0,8.0
13,"(3.505, 4.206]",SLV,12.0,2.0,14.0
14,"(4.206, 4.907]",GT,19.0,20.0,39.0
15,"(4.206, 4.907]",HND,0.0,2.0,2.0
16,"(4.206, 4.907]",SLV,35.0,20.0,55.0
17,"(4.907, 5.608]",GT,5.0,5.0,10.0
18,"(4.907, 5.608]",HND,0.0,2.0,2.0
19,"(4.907, 5.608]",SLV,50.0,38.0,88.0
20,"(5.608, 6.309]",GT,0.0,1.0,1.0
21,"(5.608, 6.309]",HND,1.0,1.0,2.0
22,"(5.608, 6.309]",SLV,42.0,42.0,84.0
23,"(6.309, 7.01]",GT,0.0,1.0,1.0
24,"(6.309, 7.01]",SLV,15.0,15.0,30.0
25,"(7.01, 7.711]",SLV,2.0,1.0,3.0
26,"(7.711, 8.412]",SLV,2.0,0.0,2.0
