avg_log_income,mig_ext_attempts,income_per_capita,mig_ext_cost_total_usd,debt_amount,sucess_yn,institutional_loan_yn
"(-0.5, 0.0]",,,,,,
"(0.0, 0.5]",,,,,,
"(0.5, 1.0]",1.0,6.56,4.2528275,17.01131,,0.0
"(1.0, 1.5]",1.6,15.361333334,1509.975335875,8.595901739999999,0.25,0.4
"(1.5, 2.0]",1.0,19.09434524,337.95079215,149.77011024999996,0.5,0.5
"(2.0, 2.5]",1.4545454545454546,45.62662337727273,3363.841399727273,79.95415882727274,0.45454545454545453,0.18181818181818182
"(2.5, 3.0]",1.5,77.25793651,1297.4717587333332,125.5036618388889,0.5,0.2222222222222222
"(3.0, 3.5]",2.064516129032258,67.74831029451613,2024.0143545,653.5512647741936,0.5161290322580645,0.7096774193548387
"(3.5, 4.0]",1.6222222222222222,79.00425364466666,845.73666355,592.96108616,0.6444444444444445,0.4666666666666667
"(4.0, 4.5]",1.25,97.23928571249999,1815.541722972778,684.0719058155,0.7,0.6
"(4.5, 5.0]",1.7142857142857142,92.77891156428572,2717.2190750615387,999.2391464285714,0.6428571428571429,0.42857142857142855
"(5.0, 5.5]",1.903225806451613,69.6397151264516,4923.264762206896,2284.6456578064517,0.7,0.5161290322580645
"(5.5, 6.0]",1.6857142857142857,82.96054421457143,6793.333333333333,2340.5142857142855,0.6060606060606061,0.34285714285714286
"(6.0, 6.5]",1.7142857142857142,287.07482994285715,6950.0,6680.557428571429,0.7142857142857143,0.14285714285714285
"(6.5, 7.0]",1.0,972.222222,4702.086666666667,5812.700693333333,1.0,1.0
"(7.0, 7.5]",2.0,333.33333335,7800.0,3500.0,0.0,0.5
"(7.5, 8.0]",,,,,,
